OSEBuildingID,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,TotalUseTypeNumber,BuildingAge,Building(s)_Proportion,Parking_Proportion,LargestPropertyUse_Proportion,SecondLargestPropertyUse_Proportion,ThirdLargestPropertyUse_Proportion,GFAPerBuilding,GFAPerFloor,ElectricityUseCategory_PrimaryPropertyType,SteamUseCategory_PrimaryPropertyType,NaturalGasUseCategory_PrimaryPropertyType,ElectricityUseCategory_BuildingType,SteamUseCategory_BuildingType,NaturalGasUseCategory_BuildingType,ElectricityUseCategory_AgeGroup,SteamUseCategory_AgeGroup,NaturalGasUseCategory_AgeGroup,DistanceToCenter,SiteEnergyUse(kBtu)_log
21442,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,Commercial,Parking,Missing,92.0,2,9,0.6192333890643383,0.38076661093566166,0.6438633971143725,0.3305158214130906,0.0,64596.0,16149.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,1.611091637179263,14.741446326569337
21443,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,Commercial,Other,Parking,1.0,3,88,0.8538079390343897,0.14619206096561038,0.8538079390343897,0.12058071673178025,0.030145179182945063,41466.0,13822.0,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Medium_elec,Zero_steam,Medium_gas,1.6295640208907405,16.033674697740253
21445,NonResidential,Large Office,98109.0,7,LAKE UNION,Commercial,Parking,Commercial,92.0,4,3,0.22882717466146432,0.7711728253385357,0.9222553744931528,0.6805906204575013,0.041588248795042464,130710.0,21785.0,High_elec,Zero_Steam,Medium_gas,Medium_elec,Zero_steam,Low_gas,High_elec,Zero_steam,High_gas,1.60268426171965,15.820958890135673
21447,NonResidential,Small- and Mid-Sized Office,98109.0,7,LAKE UNION,Commercial,Retail,Parking,77.0,3,90,1.0,0.0,0.6243991056456121,0.2295695919508105,0.14603130240357742,35780.0,8945.0,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,1.6561425299878803,14.464058698063075
21464,Nonresidential COS,Other,98109.0,7,DOWNTOWN,Other,Missing,Missing,,1,50,1.0,0.0,1.0,0.0,0.0,49680.0,49680.0,Medium_elec,Medium_steam,Zero_gas,Medium_elec,Extreme_high_steam,Zero_gas,Medium_elec,High_steam,Zero_gas,0.4789658891313522,14.860963250382913
21465,Nonresidential COS,Other,98109.0,7,DOWNTOWN,Other,Missing,Missing,,1,54,1.0,0.0,1.0,0.0,0.0,36314.0,36314.0,Medium_elec,Medium_steam,Medium_gas,Medium_elec,Extreme_high_steam,Medium_gas,Medium_elec,Medium_steam,Medium_gas,0.4499075199148546,14.42136072983665
21468,NonResidential,Other,98101.0,7,DOWNTOWN,Other,Food Service,Retail,,3,100,1.0,0.0,0.458641975308642,0.16701388888888888,0.1554398148148148,25920.0,12960.0,Medium_elec,Zero_Steam,Zero_gas,Medium_elec,Zero_steam,Zero_gas,Low_elec,Zero_steam,Zero_gas,0.5927553770255869,14.044855341829189
21469,NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,Commercial,Retail,Missing,72.0,2,97,1.0,0.0,0.5347481441093822,0.17824938136979407,0.0,47686.0,11921.5,Medium_elec,Low_steam,Zero_gas,Medium_elec,Medium_steam,Zero_gas,Low_elec,Extreme_high_steam,Zero_gas,0.7218307689908829,14.543866206645772
21482,Campus,Restaurant,98101.0,7,DOWNTOWN,Food Service,Other,Commercial,,3,104,1.0,0.0,0.6743104806934594,0.2531914893617021,0.07249802994483845,25380.0,12690.0,Medium_elec,Zero_Steam,High_gas,High_elec,Zero_steam,High_gas,Low_elec,Zero_steam,Low_gas,0.701397674965834,15.747257306496056
21483,NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,Commercial,Retail,Warehouse,,3,101,1.0,0.0,0.5132015227803021,0.3993614147120226,0.0874370625076753,40715.0,6785.833,Medium_elec,Zero_Steam,Low_gas,Medium_elec,Zero_steam,Low_gas,Low_elec,Zero_steam,Low_gas,0.7494793471676713,14.855000299262079
